maquina,maquina_en,maquina_ch,tipo,tipo_en,tipo_ch,modelo,modelo_en,modelo_ch,area_trabalho,area_trabalho_en,area_trabalho_ch,eixo_z,eixo_z_en,eixo_z_ch,cor,cor_en,cor_ch,o_que_ela_faz,o_que_ela_faz_en,o_que_ela_faz_ch,voltagem,voltagem_en,voltagem_ch,ncm,nome_da_classificacao,caixa_lateral_e_base,opcionais,imagem
Peça,,配件,Plotter de Recorte,,刻字机刻刀,Lamina de Corte 45°,,45度刻刀,caixa com 3 lâminas 45° ,,每合3把45度刻刀,,,,Prata,,白色,Recorta Adesivo,,用于切割即时贴纸,,,,8207.70.10,"Ferramentas, artefatos de cutelaria e talheres, e suas partes, de metais comuns - Ferramentas intercambiáveis para ferramentas manuais, mesmo mecânicas, ou para máquinasferramentas (por exemplo, de embutir, estampar, puncionar, roscar, furar, mandrilar, brochar, fresar, tornear, aparafusar), incluídas as fieiras de estiragem ou de extrusão, para metais, e as ferramentas de perfuração ou de sondagem - Ferramentas de fresar - De topo",Acrílico,,
Peças,,配件,Laser Co²,,滑块,Rolamento Patim H15,,上银 方轨H15,Rolamento sem Eixo,,直线导轨,,,,Prata,,红绿,"Rolamento de Eixo X, Y e Z",,附于直线导轨,,,,8466.93.19,"Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes - Partes e acessórios reconhecíveis como exclusiva ou principalmente destinados às máquinas das posições 8456 a 8465, incluídos os portapeças e portaferramentas, as fieiras de abertura automática, os dispositivos divisores e outros dispositivos especiais, para máquinasferramentas; portaferramentas para ferramentas manuais de todos os tipos - Outros: - Para máquinas das posições 8456 a 8461 - Para máquinas da posição 8456 - Outras",Papelão,,
Peças,,配件,Co²,,激光管,Tongly 40W,,同立40W,40w de potência,,功率40W,Refrigerado à água,,,Transparente,,蓝色,"Emite Laser incolor para corte e gravação de madeiras, acrilicos e tecidos",,用于切割雕刻密度板，亚克力和布料,220v,,220V,9013.20.00,"Instrumentos e aparelhos de óptica, fotografia ou cinematografia, medida, controle ou de precisão; instrumentos e aparelhos médico-cirúrgicos; suas partes e acessórios - Dispositivos de cristais líquidos que não constituam artigos compreendidos mais especificamente em outras posições; “lasers”, exceto diodos “laser”; outros aparelhos e instrumentos de óptica, não especificados nem compreendidos em outras posições do presente Capítulo - ""Lasers"", exceto diodos ""laser""",Papelão,,
Peças,,配件,Co²	,,激光管,Yongli 130w,,永利130W A6S,130w de potência	,,功率130W,Refrigerado à água	,,水冷,Transparente,,透明,"Emite Laser incolor para corte e gravação de madeiras, acrilicos e tecidos	",,用于切割雕刻密度板，亚克力和布料,220v,,220V,9013.20.00,"Instrumentos e aparelhos de óptica, fotografia ou cinematografia, medida, controle ou de precisão; instrumentos e aparelhos médico-cirúrgicos; suas partes e acessórios - Dispositivos de cristais líquidos que não constituam artigos compreendidos mais especificamente em outras posições; “lasers”, exceto diodos “laser”; outros aparelhos e instrumentos de óptica, não especificados nem compreendidos em outras posições do presente Capítulo - ""Lasers"", exceto diodos ""laser""	",Papelão,,
Peças	,,配件,Co²,,激光管,Yongli 60w,,永利60W,60w de potência	,,功率60W,Refrigerado à água	,,水冷,Transparente,,透明,"Emite Laser incolor para corte e gravação de madeiras, acrilicos e tecidos	",,用于切割雕刻密度板，亚克力和布料,220V,,220V,9013.20.00,"Instrumentos e aparelhos de óptica, fotografia ou cinematografia, medida, controle ou de precisão; instrumentos e aparelhos médico-cirúrgicos; suas partes e acessórios - Dispositivos de cristais líquidos que não constituam artigos compreendidos mais especificamente em outras posições; “lasers”, exceto diodos “laser”; outros aparelhos e instrumentos de óptica, não especificados nem compreendidos em outras posições do presente Capítulo - ""Lasers"", exceto diodos ""laser""	",Papelão,,
Peças,,配件,Co²,,激光管,Yongli 80w	,,永利80W,80w de potência	,,功率80W,Refrigerado à água	,,水冷,Transparente,,透明,"Emite Laser incolor para corte e gravação de madeiras, acrilicos e tecidos	",,用于切割雕刻密度板，亚克力和布料,220V,,220V,9013.20.00	,"Instrumentos e aparelhos de óptica, fotografia ou cinematografia, medida, controle ou de precisão; instrumentos e aparelhos médico-cirúrgicos; suas partes e acessórios - Dispositivos de cristais líquidos que não constituam artigos compreendidos mais especificamente em outras posições; “lasers”, exceto diodos “laser”; outros aparelhos e instrumentos de óptica, não especificados nem compreendidos em outras posições do presente Capítulo - ""Lasers"", exceto diodos ""laser""	",Papelão,,
Peças,,配件,CNC Router,,维宏控制卡,NC Studio,,盗版维宏,Entrada PCI ,,电脑PCI,Controle CNC ,,控制雕刻机,Azul,,蓝色,"Controla X, Y e Z de todas as Router",,发送指令控制运动,24v,,24V,Seria partes e peças do 8465.92.11,Seria partes e peças do 8465.92.11,Papelão,,
Peças,,配件,Co²,,控制卡,V23 RJ 4040,,新立新龙V23,Entrada USB,,USB传输,Controle CNC	,,控制激光机,Verde,,绿色,"Controla X, Y e Z de todas as Router e contém um softwware new ly draw embutido",,发送运动指令,24v,,24V,8466.93.19,"Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes - Partes e acessórios reconhecíveis como exclusiva ou principalmente destinados às máquinas das posições 8456 a 8465, incluídos os portapeças e portaferramentas, as fieiras de abertura automática, os dispositivos divisores e outros dispositivos especiais, para máquinasferramentas; portaferramentas para ferramentas manuais de todos os tipos - Outros: - Para máquinas das posições 8456 a 8461 - Para máquinas da posição 8456 - Outras	",Papelão,,
Peças,,配件,CNC Router,,主轴电机,Spindle Motor 1.5kw,,风冷1.5KW,Giro 24.000/rpm,,转速24000/rpm,Refrigerado a ar,,风冷,Prata,,银色,Desbasta material por rotacionamento,,高速旋转切割雕刻,220v,,220V,Seria partes e peças do 8465.92.11	,Seria partes e peças do 8465.92.11	,Isopor,,
CNC Laser,,激光雕刻机,Co²,,CO2,RJ 5030P,,RJ5030P,Área de Corte 50x30cm,,桌面尺寸50X30cm,Sem Elevador,,无升降,Cinza e Branca,,银白,"Corte e Gravação de MDF, Acrílico e Tecido",,用于切割雕刻密度板，亚克力和布料,220V,,220V,8456.11.19,"REATORES NUCLEARES, CALDEIRAS, MÁQUINAS, APARELHOS E INSTRUMENTOS MECÂNICOS, E SUAS PARTES/MÁQUINASFERRAMENTAS QUE TRABALHEM POR ELIMINAÇÃO DE QUALQUER MATÉRIA, QUE OPEREM POR LASER OU POR OUTRO FEIXE DE LUZ OU DE FÓTONS, POR ULTRASSOM, POR ELETROEROSÃO, POR PROCESSOS ELETROQUÍMICOS, POR FEIXES DE ELÉTRONS, POR FEIXES IÔNICOS OU POR JATO DE PL/QUE OPEREM POR LASER/OUTRAS",Madeira,,
CNC Router,,雕刻机,Fresadora CNC,,风冷雕刻机,RJ 6090,,RJ6090,Área de Corte 60x90cm,,桌面尺寸60X90cm,Motor de 1.5KW,,风冷主轴1.5KW,-,,蓝白,"Corte e Gravação de MDF, Acrílico e metais leves",,用于切割雕刻密度板，亚克力和薄铁板,220V,,220V,8465.92.11,"Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes - Máquinas ferramentas (incluídas as máquinas para pregar, grampear, colar ou reunir por qualquer outro modo) para trabalhar madeira, cortiça, osso, borracha endurecida, plásticos duros ou matérias duras semelhantes - Outras: - Máquinas para desbastar ou aplainar; máquinas para fresar ou moldurar - De comando numérico - Fresadoras",Madeira,,
CNC Laser,,激光雕刻机,CNC Laser,,CO2,RJ 1325P,,RJ1325P,Área de Corte 130x250cm,,桌面尺寸130X250cm,Sem Elevador,,无升降,Azul e Branca,,蓝白,"Corte e Gravação de MDF, Acrílico e Tecidos",,用于切割雕刻密度板，亚克力和布料,220v,,220V,8456.11.19,"REATORES NUCLEARES, CALDEIRAS, MÁQUINAS, APARELHOS E INSTRUMENTOS MECÂNICOS, E SUAS PARTES/MÁQUINASFERRAMENTAS QUE TRABALHEM POR ELIMINAÇÃO DE QUALQUER MATÉRIA, QUE OPEREM POR LASER OU POR OUTRO FEIXE DE LUZ OU DE FÓTONS, POR ULTRASSOM, POR ELETROEROSÃO, POR PROCESSOS ELETROQUÍMICOS, POR FEIXES DE ELÉTRONS, POR FEIXES IÔNICOS OU POR JATO DE PL/QUE OPEREM POR LASER/OUTRAS	",Madeira,,
Peças,,配件,Refrigerador,,制冷机,Chiller S&A CW-5200,,特域CW5200,Trabalha de 15-35°,,采用制冷剂制冷,Capacidade do Tanque 9L de água,,加入6L蒸馏水,Branco,,白色,Refrigerador de Tubo Laser até 120w,,用于低于150W激光管制冷,220v,,220V,8418.69.40,"Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes - Refrigeradores, congeladores (“freezers”) e outros materiais, máquinas e aparelhos para a produção de frio, com equipamento elétrico ou outro; bombas de calor, exceto as máquinas e aparelhos de arcondicionado da posição 8415 - Outros materiais, máquinas e aparelhos, para produção de frio; bombas de calor: - Outros - Grupos frigoríficos de compressão para refrigeração ou para ar condicionado, com capacidade inferior ou igual a 30000 frigorias/hora",Papelão,,
Peças,,配件,Co²,,激光管,Yongli 100w A4s	 ,,永利100W A4S,100w de potência	,,功率100W,Refrigerado à água	,,水冷,Transparente,,透明,"Emite Laser incolor para corte e gravação de madeiras, acrilicos e tecidos	",,用于切割雕刻密度板，亚克力和布料,220V,,220V,9013.20.00	,"Instrumentos e aparelhos de óptica, fotografia ou cinematografia, medida, controle ou de precisão; instrumentos e aparelhos médico-cirúrgicos; suas partes e acessórios - Dispositivos de cristais líquidos que não constituam artigos compreendidos mais especificamente em outras posições; “lasers”, exceto diodos “laser”; outros aparelhos e instrumentos de óptica, não especificados nem compreendidos em outras posições do presente Capítulo - ""Lasers"", exceto diodos ""laser""	",Papelão,,
Peças,,配件,Máquinas Laser Co2,,反光镜,Espelho 25mm - Molibdênio,,硅片,25mm,,直径25mm,,,,Prata,,银色,Reflete o Laser Co2 ,,折射激光,-,,,8466.93.20," Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes - Partes e acessórios reconhecíveis como exclusiva ou principalmente destinados às máquinas das posições 8456 a 8465, incluídos os portapeças e portaferramentas, as fieiras de abertura automática, os dispositivos divisores e outros dispositivos especiais, para máquinasferramentas; portaferramentas para ferramentas manuais de todos os tipos - Outros: - Para máquinas das posições 8456 a 8461 - Para máquinas da posição 8457",Plastico ,,
Peças,,配件 ,Fonte,,激光电源,Fonte do Laser Zhen Yu - 40w,,振宇40W,Máquinas Laser Co2,,迷你激光机,,,,Azul,,蓝色,Alimenta a máquina.,,激发40W激光管,220V,,220V,8504.40.29,"Máquinas, aparelhos e materiais elétricos, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios - Transformadores elétricos, conversores elétricos estáticos (retificadores, por exemplo), bobinas de reatância e de autoindução - Conversores estáticos - Retificadores, exceto carregadores de acumuladores - Outros",,,
Peça,,配件,Bomba de Ar,,气泵,Bomba de Ar Eletromagnética - Grande 135w,,135W大气泵,Máquinas Laser Co2,,用于激光机,,,,,,银色,,,用于吹气保护,220V,,220V,8414.20.00,"Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes - Bombas de ar ou de vácuo, compressores de ar ou de outros gases e ventiladores; coifas aspirantes para extração ou reciclagem, com ventilador incorporado, mesmo filtrantes - Bombas de ar, de mão ou de pé.",,,
Peças,,配件,Fresa,,雕刻刀,Fresa - 3x10x45mm 1L,,3mm单刃直刀,Router CNC,,雕刻机,,,,,,银色,Usinagem de materiais,,用于切割密度板，亚克力,,,,8207.70.10,"Ferramentas, artefatos de cutelaria e talheres, e suas partes, de metais comuns - Ferramentas intercambiáveis para ferramentas manuais, mesmo mecânicas, ou para máquinasferramentas (por exemplo, de embutir, estampar, puncionar, roscar, furar, mandrilar, brochar, fresar, tornear, aparafusar), incluídas as fieiras de estiragem ou de extrusão, para metais, e as ferramentas de perfuração ou de sondagem - Ferramentas de fresar - De topo",,,
Peças,,配件,Relê,,限位,Relê,,接触式,Máquinas,,用于小型激光机,,,,,,红黑,Interruptor eletromecânico. Serve principalmente para ligar e desligar dispositivos.,,用于机器各轴运动归零,5V,,5V,8535.30.29,"Máquinas, aparelhos e materiais elétricos, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios - Aparelhos para interrupção, seccionamento, proteção, derivação, ligação ou conexão de circuitos elétricos (por exemplo, interruptores, comutadores, cortacircuitos, páraraios, limitadores de tensão, eliminadores de onda, tomadas de corrente e outros conectores, caixas de junção), para tensão superior a 1000V - Seccionadores e interruptores - Para corrente nominal superior a 1600A - Outros",,,
